"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.595863271E0,-9.105288506E0,5.593222976E-1,3.386442184E0
1.605863271E0,-9.138788223E0,5.832505226E-1,3.366701365E0
1.615863271E0,-9.153144836E0,5.880361795E-1,3.352344513E0
1.625863271E0,-9.147761345E0,5.880361795E-1,3.318845034E0
1.635863271E0,-9.143573761E0,5.880361795E-1,3.357130051E0
1.645863271E0,-9.100502968E0,5.641079545E-1,3.372085333E0
1.655863271E0,-9.090931892E0,5.497509837E-1,3.386442184E0
1.665863271E0,-9.071788788E0,5.545366406E-1,3.391826153E0
1.675863271E0,-9.086145401E0,5.641079545E-1,3.405584812E0
1.685863271E0,-9.105886459E0,5.641079545E-1,3.419941664E0
1.695863271E0,-9.125029564E0,6.023930907E-1,3.414557934E0
1.705863271E0,-9.120243073E0,5.880361795E-1,3.410370588E0
1.715863271E0,-9.138788223E0,6.167500615E-1,3.395415306E0
1.725863271E0,-9.153144836E0,6.119644046E-1,3.400201082E0
1.735863271E0,-9.114859581E0,5.976074338E-1,3.390629768E0
1.745863271E0,-9.124430656E0,5.976074338E-1,3.366701365E0
1.755863271E0,-9.105288506E0,5.784648657E-1,3.376870871E0
1.765863271E0,-9.138788223E0,5.832505226E-1,3.361915827E0
1.775863271E0,-9.167501450E0,5.928218365E-1,3.342773199E0
1.785863271E0,-9.166903496E0,5.928218365E-1,3.323630571E0
1.795863271E0,-9.209974289E0,5.784648657E-1,3.323630571E0
1.805863271E0,-9.190832138E0,6.023930907E-1,3.323032379E0
1.815863271E0,-9.162715912E0,6.119644046E-1,3.357130051E0
1.825863271E0,-9.129216194E0,6.311069727E-1,3.395415306E0
1.835863271E0,-9.105886459E0,6.412764788E-1,3.428914785E0
1.845863271E0,-9.086744308E0,6.173482537E-1,3.433700562E0
1.855863271E0,-9.096315384E0,5.934200287E-1,3.424129248E0
1.865863271E0,-9.095717430E0,5.641079545E-1,3.391227961E0
1.875863271E0,-9.124430656E0,5.593222976E-1,3.357728481E0
1.885863271E0,-9.129216194E0,5.736792088E-1,3.395415306E0
1.895863271E0,-9.129216194E0,5.736792088E-1,3.404986620E0
1.905863271E0,-9.105886459E0,6.263213158E-1,3.424129248E0
1.915863271E0,-9.081958771E0,6.747759581E-1,3.433700562E0
1.925863271E0,-9.072985649E0,7.034898400E-1,3.461816072E0
1.935863271E0,-9.058030128E0,6.987041831E-1,3.448057413E0
1.945863271E0,-9.072386742E0,6.550351977E-1,3.457628727E0
1.955863271E0,-9.062815666E0,6.406782866E-1,3.438486099E0
1.965863271E0,-9.072386742E0,6.215356588E-1,3.405584812E0
1.975863271E0,-9.081359863E0,5.880361795E-1,3.391227961E0
1.985863271E0,-9.100502968E0,5.784648657E-1,3.410370588E0
1.995863271E0,-9.096315384E0,5.688936114E-1,3.434298754E0
2.005863271E0,-9.081958771E0,5.545366406E-1,3.443870068E0
2.015863271E0,-9.067601204E0,5.551348329E-1,3.482155085E0
2.025863271E0,-9.053842545E0,5.694918036E-1,3.501297712E0
2.035863271E0,-9.068199158E0,5.647061467E-1,3.520440340E0
2.045863271E0,-9.091529846E0,5.688936114E-1,3.482155085E0
2.055863271E0,-9.110671997E0,5.641079545E-1,3.467798233E0
2.065863271E0,-9.158528328E0,5.641079545E-1,3.452843189E0
2.075863271E0,-9.168100357E0,5.449653864E-1,3.438486099E0
2.085863271E0,-9.162715912E0,5.258227587E-1,3.415156126E0
2.095863271E0,-9.148359299E0,5.449653864E-1,3.424727440E0
2.105863271E0,-9.125029564E0,5.545366406E-1,3.434298754E0
2.115863271E0,-9.086744308E0,5.545366406E-1,3.477369547E0
2.125863271E0,-9.049057007E0,5.736792088E-1,3.496512175E0
2.135863271E0,-9.025128365E0,5.455635786E-1,3.554538012E0
2.145863271E0,-9.001200676E0,5.503492355E-1,3.544966698E0
2.155863271E0,-9.034700394E0,5.593222976E-1,3.540181160E0
2.165863271E0,-9.053842545E0,5.688936114E-1,3.534797192E0
2.175863271E0,-9.087342262E0,5.641079545E-1,3.506083488E0
2.185863271E0,-9.111269951E0,5.976074338E-1,3.500699520E0
2.195863271E0,-9.120841980E0,6.023930907E-1,3.491128206E0
2.205863271E0,-9.106484413E0,6.311069727E-1,3.515056372E0
2.215863271E0,-9.072985649E0,6.550351977E-1,3.500699520E0
2.225863271E0,-9.063413620E0,6.364908218E-1,3.548556089E0
2.235863271E0,-9.034700394E0,5.982056856E-1,3.544368505E0
2.245863271E0,-9.044271469E0,5.790630579E-1,3.534797192E0
2.255863271E0,-9.029914856E0,6.125625968E-1,3.525225878E0
2.265863271E0,-9.039485931E0,6.221339107E-1,3.491726398E0
2.275863271E0,-9.082556725E0,6.215356588E-1,3.500699520E0
2.285863271E0,-9.106484413E0,6.358926296E-1,3.491128206E0
2.295863271E0,-9.111269951E0,6.454638839E-1,3.486342669E0
2.305863271E0,-9.106484413E0,5.976074338E-1,3.495913982E0
2.315863271E0,-9.072985649E0,6.125625968E-1,3.519842148E0
2.325863271E0,-9.053842545E0,6.029912829E-1,3.530011654E0
2.335863271E0,-9.025128365E0,6.173482537E-1,3.553939819E0
2.345863271E0,-9.016156197E0,6.556333899E-1,3.601198196E0
2.355863271E0,-9.006584167E0,6.508477330E-1,3.615555048E0
2.365863271E0,-9.044869423E0,6.747759581E-1,3.591626883E0
2.375863271E0,-9.035298347E0,6.795616150E-1,3.596412420E0
2.385863271E0,-9.064012527E0,6.843472719E-1,3.577269793E0
2.395863271E0,-9.059226990E0,6.652047038E-1,3.548556089E0
2.405863271E0,-9.034700394E0,6.412764788E-1,3.534198999E0
2.415863271E0,-9.034700394E0,6.269195080E-1,3.515654564E0
2.425863271E0,-9.015557289E0,6.173482537E-1,3.534797192E0
2.435863271E0,-8.992227554E0,6.173482537E-1,3.563511133E0
2.445863271E0,-9.016156197E0,6.269195080E-1,3.601796389E0
2.455863271E0,-9.006584167E0,6.317051649E-1,3.620938778E0
2.465863271E0,-9.021539688E0,6.747759581E-1,3.625126362E0
2.475863271E0,-9.016754150E0,7.034898400E-1,3.620340586E0
2.485863271E0,-8.983254433E0,7.034898400E-1,3.615555048E0
2.495863271E0,-8.949754715E0,6.939185858E-1,3.673580885E0
2.505863271E0,-8.935398102E0,6.556333899E-1,3.678366661E0
2.515863271E0,-8.949754715E0,6.364908218E-1,3.654438496E0
2.525863271E0,-8.978468895E0,6.412764788E-1,3.635295868E0
2.535863271E0,-9.006584167E0,6.412764788E-1,3.587439299E0
2.545863271E0,-9.035298347E0,6.508477330E-1,3.620340586E0
2.555863271E0,-9.045467377E0,6.843472719E-1,3.634697676E0
2.565863271E0,-9.031110764E0,6.939185858E-1,3.658625841E0
2.575863271E0,-9.040681839E0,6.843472719E-1,3.644268990E0
2.585863271E0,-9.011968613E0,6.652047038E-1,3.672982693E0
2.595863271E0,-8.997611046E0,6.747759581E-1,3.649054527E0
2.605863271E0,-8.997611046E0,6.604190469E-1,3.663411379E0
2.615863271E0,-8.964112282E0,6.556333899E-1,3.678366661E0
2.625863271E0,-8.959924698E0,6.317051649E-1,3.702294827E0
2.635863271E0,-8.931210518E0,6.508477330E-1,3.697509289E0
2.645863271E0,-8.955139160E0,6.412764788E-1,3.702294827E0
2.655863271E0,-8.978468895E0,6.364908218E-1,3.678366661E0
